,ZIP_CODE
1502,04530
1503,04535
1504,04537
1505,04538
1506,04539
1507,04541
1508,04543
1509,04544
1510,04547
1511,04548
1512,04549
1513,04551
1514,04553
1515,04554
1516,04555
1517,04556
1518,04558
1519,04562
1520,04563
1521,04564
1522,04565
1523,04568
1524,04570
1525,04571
1526,04572
1527,04573
1528,04574
1529,04575
1530,04576
1531,04578
1532,04579
1533,04605
1534,04606
1535,04607
1536,04609
1537,04611
1538,04612
1539,04613
1540,04614
1541,04616
1542,04617
1543,04619
1544,04622
1545,04623
1546,04624
1547,04625
1548,04626
1549,04627
1550,04628
1551,04629
1552,04630
1553,04631
1554,04634
1555,04635
1556,04637
1557,04640
1558,04642
1559,04643
1560,04644
1561,04645
1562,04646
1563,04648
1564,04649
1565,04650
1566,04652
1567,04653
1568,04654
1569,04655
1570,04657
1571,04658
1572,04660
1573,04662
1574,04664
1575,04666
1576,04667
1577,04668
1578,04669
1579,04671
1580,04672
1581,04673
1582,04674
1583,04675
1584,04676
1585,04677
1586,04679
1587,04680
1588,04681
1589,04683
1590,04684
1591,04685
1592,04686
1593,04691
1594,04693
1595,04694
1596,04730
1597,04732
1598,04733
1599,04734
1600,04735
1601,04736
1602,04737
1603,04738
1604,04739
1605,04740
1606,04741
1607,04742
1608,04743
1609,04744
1610,04745
1611,04746
1612,04747
1613,04750
1614,04751
1615,04756
1616,04757
1617,04758
1618,04760
1619,04761
1620,04762
1621,04763
1622,04764
1623,04765
1624,04766
1625,04768
1626,04769
1627,04772
1628,04773
1629,04774
1630,04775
1631,04776
1632,04777
1633,04779
1634,04780
1635,04781
1636,04783
1637,04785
1638,04786
1639,04787
1640,04841
1641,04843
1642,04847
1643,04848
1644,04849
1645,04850
1646,04851
1647,04852
1648,04853
1649,04854
1650,04855
1651,04856
1652,04858
1653,04859
1654,04860
1655,04861
1656,04862
1657,04863
1658,04864
1659,04865
1660,04901
1661,04903
1662,04910
1663,04911
1664,04912
1665,04915
1666,04917
1667,04918
1668,04920
1669,04921
1670,04922
1671,04923
1672,04924
1673,04925
1674,04926
1675,04927
1676,04928
1677,04929
1678,04930
1679,04932
1680,04933
1681,04935
1682,04936
1683,04937
1684,04938
1685,04939
1686,04940
1687,04941
1688,04942
1689,04943
1690,04944
1691,04945
1692,04947
1693,04949
1694,04950
1695,04951
1696,04952
1697,04953
1698,04954
1699,04955
1700,04956
1701,04957
1702,04958
1703,04961
1704,04962
1705,04963
1706,04964
1707,04965
1708,04966
1709,04967
1710,04969
1711,04970
1712,04971
1713,04972
1714,04973
1715,04974
1716,04975
1717,04976
1718,04978
1719,04979
1720,04981
1721,04982
1722,04983
1723,04984
1724,04985
1725,04986
1726,04987
1727,04988
1728,04989
1729,04992
1730,05001
1731,05009
1732,05030
1733,05031
1734,05032
1735,05033
1736,05034
1737,05035
1738,05036
1739,05037
1740,05038
1741,05039
1742,05040
1743,05041
1744,05042
1745,05043
1746,05045
1747,05046
1748,05047
1749,05048
1750,05049
1751,05050
1752,05051
1753,05052
1754,05053
1755,05054
1756,05055
1757,05056
1758,05058
1759,05059
1760,05060
1761,05061
1762,05062
1763,05065
1764,05067
1765,05068
1766,05069
1767,05070
1768,05071
1769,05072
1770,05073
1771,05074
1772,05075
1773,05076
1774,05077
1775,05079
1776,05081
1777,05083
1778,05084
1779,05085
1780,05086
1781,05088
1782,05089
1783,05091
1784,05101
1785,05141
1786,05142
1787,05143
1788,05146
1789,05148
1790,05149
1791,05150
1792,05151
1793,05152
1794,05153
1795,05154
1796,05155
1797,05156
1798,05158
1799,05159
1800,05161
1801,05201
1802,05250
1803,05251
1804,05252
1805,05253
1806,05254
1807,05255
1808,05257
1809,05260
